"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"353","213918568751224","Bruce Rauner","Another insightful infographic from Reboot Illinois about our state's income tax collections. Click ""LIKE"" if you think we must reduce the tax burden.","2013-08-09T15:50:09+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/287929278016819/?type=1&relevant_count=1","213918568751224_287929288016818",215,29,85
"354","213918568751224","Bruce Rauner",NA,"2013-08-08T18:28:29+0000","photo","https://www.facebook.com/BruceRauner/photos/a.287578711385209.1073741831.213918568751224/287578754718538/?type=1&relevant_count=16","213918568751224_287581814718232",117,20,0
"355","213918568751224","Bruce Rauner","My reaction to the latest twist in Metra scandal. Click ""LIKE"" if you think it is time to clean house in Springfield:

I'd call this is a blatant insult to every taxpayer, but it's clear Pat Quinn and the Democratic machine don't care about the taxpayers at all. In fact, there is now a pattern of Pat Quinn handing out taxpayer-funded salaries and benefits to key cogs in the Democratic machine. This is exactly why voters are eager for a governor who can't be intimidated or influenced by the special interests and political machines that try to control politics in Illinois. 

http://www.chicagobusiness.com/article/20130806/BLOGS02/130809894/cta-board-member-profits-from-double-dip-loophole","2013-08-06T20:34:18+0000","status",NA,"213918568751224_286836364792777",471,39,50
"356","213918568751224","Bruce Rauner","According to CNBC, Illinois has saved just $0.43 to cover every $1 owed to state retirees. Click ""LIKE"" if you think it is time to reform Illinois' state pension system: http://cnb.cx/15H2KF0","2013-08-05T15:01:29+0000","link","http://cnb.cx/15H2KF0","213918568751224_286330741510006",241,61,11
"357","213918568751224","Bruce Rauner","Check out this infographic from Reboot Illinois. Click ""Like"" if you think we need lower taxes, a better business climate and stronger schools to keep more families in Illinois.","2013-08-02T15:47:32+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/285245774951836/?type=1&relevant_count=1","213918568751224_285245834951830",300,74,76
"358","213918568751224","Bruce Rauner","Enjoyed campaigning in Decatur yesterday. Below is an excerpt of the local newspaper's write up on my visit: 

""Bruce Rauner sees Decatur as the perfect example of how Illinois politics has let down residents — and how a city can rise again.

Rauner, a Republican gubernatorial candidate, took part in a town hall meeting Wednesday morning at Decatur Fence Co. as part of his statewide tour to raise awareness for his gubernatorial campaign and how Illinois can change through lowering taxes and cutting some red tape for businesses, growing jobs, creating transparent government and strengthening education and training.

'Decatur is a classic example of all the things wrong in Illinois: high unemployment, high taxes and deteriorating schools, and we have to turn that around in a very dramatic way,' Rauner said. 'As governor, we got to have regulations and taxes that are pro-business … and then I can travel to Indiana and Tennessee … and I can bring in companies and recruit them to come back to Decatur.

'I want to talk to them and tell them, ‘Look at Decatur. We have a trained work force, we have infrastructure and a great location. Come to Decatur and invest and build your business here.’ ”","2013-08-01T15:00:58+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/284827458327001/?type=1&relevant_count=1","213918568751224_284827474993666",129,21,11
"359","213918568751224","Bruce Rauner","Great visit to NW Suburbs yesterday. Down in Decatur today. Read about one of my stops yesterday here: http://www.nwherald.com/2013/07/30/gop-candidate-rauner-visits-lakewood/ant2m2y/","2013-07-31T14:41:41+0000","link","http://www.nwherald.com/2013/07/30/gop-candidate-rauner-visits-lakewood/ant2m2y/","213918568751224_284442408365506",88,17,0
"360","213918568751224","Bruce Rauner","With the Madigan-Cullerton lawsuit over legislative pay, Springfield has never looked more dysfunctional. You deserve better. Instead of showing leadership and solving the pension crisis, the politicians running Springfield are once again pointing fingers at each other and are afraid to take on the government union bosses. This is why we need to shake Springfield to its core.","2013-07-30T22:53:03+0000","status",NA,"213918568751224_284218108387936",637,113,66
"361","213918568751224","Bruce Rauner","Great stop in Aurora yesterday. Read more about it here: http://beaconnews.suntimes.com/news/21608123-418/gop-governor-candidate-rauner-talks-jobs-creation-pensions-in-aurora.html","2013-07-30T13:23:05+0000","link","http://beaconnews.suntimes.com/news/21608123-418/gop-governor-candidate-rauner-talks-jobs-creation-pensions-in-aurora.html","213918568751224_284064421736638",95,8,0
"362","213918568751224","Bruce Rauner","Thank you! 20,000 ""Likes."" Click ""LIKE"" on this post to keep spreading the word. Together, we can Bring Back Illinois.","2013-07-30T02:01:52+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/283924641750616/?type=1&relevant_count=1","213918568751224_283924651750615",628,24,39
